{1: [5, 6, 1], 2: [7, 2], 3: [4, 3], 'total_second': 10668}
{1: [5, 6, 1], 2: [7], 3: [4, 2, 3], 'total_second': 9232}
{1: [4, 2, 6, 5, 1], 2: [7], 3: [3], 'total_second': 9649}
{1: [6, 5], 2: [7, 1], 3: [4, 2, 3], 'total_second': 10102}
{1: [4, 3], 2: [7], 3: [2, 6, 5, 1], 'total_second': 9633}
{1: [4, 3], 2: [7, 1], 3: [2, 6, 5], 'total_second': 10437}
{1: [4, 3], 2: [7, 2, 1], 3: [6, 5], 'total_second': 10856}
{1: [4, 3], 2: [7, 2], 3: [5, 6, 1], 'total_second': 10983}
{1: [4, 2, 3], 2: [7], 3: [5, 6, 1], 'total_second': 9547}
{1: [4, 2, 3], 2: [7, 1], 3: [6, 5], 'total_second': 10379}
{1: [7, 5], 2: [4], 3: [2, 6, 3, 1], 'total_second': 8003}
{1: [5], 2: [7, 4], 3: [2, 6, 3, 1], 'total_second': 8683}
{1: [7], 2: [5, 4], 3: [2, 6, 3, 1], 'total_second': 9025}
{1: [4, 5], 2: [7], 3: [2, 6, 3, 1], 'total_second': 9073}
{1: [4, 7], 2: [5], 3: [2, 6, 3, 1], 'total_second': 9475}
{1: [2, 5, 3, 1], 2: [6], 3: [4, 7], 'total_second': 9655}
{1: [2, 3, 5], 2: [6], 3: [4, 7, 1], 'total_second': 10429}
{1: [4, 7, 1], 2: [6], 3: [2, 3, 5], 'total_second': 10725}
{1: [3, 5], 2: [6], 3: [4, 7, 2, 1], 'total_second': 10807}
{1: [5, 3, 1], 2: [6], 3: [7, 2, 4], 'total_second': 10840}
{1: [4, 7, 2, 1], 2: [6], 3: [5, 3], 'total_second': 11192}
{1: [7, 5, 1], 2: [6], 3: [4, 2, 3], 'total_second': 11262}
{1: [7, 1, 2, 5], 2: [6], 3: [4, 3], 'total_second': 11426}
{1: [2, 6, 3], 2: [4], 3: [7, 5, 1], 'total_second': 8056}
{1: [6, 3], 2: [2, 4], 3: [7, 5, 1], 'total_second': 10129}
{1: [4, 2, 3], 2: [6], 3: [7, 5, 1], 'total_second': 11489}
{1: [2, 3, 5], 2: [6, 1], 3: [4, 7], 'total_second': 9508}
{1: [4, 7], 2: [6, 1], 3: [2, 3, 5], 'total_second': 9888}
{1: [3, 5], 2: [6, 1], 3: [7, 2, 4], 'total_second': 10726}
{1: [7, 5], 2: [6, 1], 3: [4, 2, 3], 'total_second': 11092}
{1: [4, 7, 2], 2: [6, 1], 3: [5, 3], 'total_second': 11153}
{1: [7, 2, 5], 2: [6, 1], 3: [4, 3], 'total_second': 11273}
{1: [4, 2, 3], 2: [6, 1], 3: [7, 5], 'total_second': 11328}
{1: [6, 3, 1], 2: [4], 3: [7, 2, 5], 'total_second': 8094}
{1: [2, 6], 2: [7, 4], 3: [5, 3, 1], 'total_second': 9197}
{1: [4, 2, 6], 2: [7], 3: [5, 3, 1], 'total_second': 9547}
{1: [6, 3], 2: [1, 4], 3: [7, 2, 5], 'total_second': 9834}
{1: [6], 2: [7, 2, 4], 3: [5, 3, 1], 'total_second': 10446}
{1: [4, 6], 2: [7, 2], 3: [5, 3, 1], 'total_second': 10923}
{1: [4, 7, 2], 2: [6], 3: [5, 3, 1], 'total_second': 11210}
{1: [4, 3], 2: [6, 1], 3: [7, 2, 5], 'total_second': 11509}
{1: [6, 3, 5], 2: [7, 2, 1, 4], 3: [], 'total_second': 7492}
{1: [5], 2: [7, 2, 1, 4], 3: [6, 3], 'total_second': 9994}
{1: [6, 3], 2: [7, 2, 1, 4], 3: [5], 'total_second': 10037}
{1: [3], 2: [7, 2, 1, 4], 3: [6, 5], 'total_second': 10391}
{1: [3, 5], 2: [7, 2, 1, 4], 3: [6], 'total_second': 10422}
{1: [6, 5], 2: [7, 2, 1, 4], 3: [3], 'total_second': 10503}
{1: [6], 2: [7, 2, 1, 4], 3: [5, 3], 'total_second': 10514}
{1: [2, 6, 5], 2: [7], 3: [4, 3, 1], 'total_second': 9246}
{1: [6, 5], 2: [7, 2], 3: [4, 3, 1], 'total_second': 10630}
{1: [7, 2, 5], 2: [6], 3: [4, 3, 1], 'total_second': 11330}
{1: [2, 5, 6, 3, 1], 2: [], 3: [4, 7], 'total_second': 6014}
{1: [2, 5, 6, 3, 1], 2: [7, 4], 3: [], 'total_second': 6282}
{1: [2, 5, 6, 3, 1], 2: [4], 3: [7], 'total_second': 6414}
{1: [2, 5, 6, 3, 1], 2: [7], 3: [4], 'total_second': 6579}
